Type,Strong against,Inffective against,Inoffensible against
Normal,,Rock Steel,Ghost
Fire,Grass Ice Bug Steel,Fire Water Rock Dragon,
Water,Fire Ground Rock,Water Grass Dragon,
Grass,Water Ground Rock,Fire Grass Poison Flying Bug Dragon.Steel,
Flying,Grass Fighting Bug,Electric Rock Steel,
Fighting,Normal Ice Rock Dark Steel,Poison Flying PsychicBug Fairy,Ghost
Poison,Grass Fairy,Poison Ground Rock Ghost,Steel
Electric,Water Flying,Electric Grass Dragon,Ground
Ground,Fire Electric Poison Rock Steel,Grass Bug,Flying
Rock,Fire Ice Flying Bug,Fight Ground Steel,
Psychic,Fighting Poison,Psychic Steel,Dark
Ice,Grass Ground Flying Dragon,Fire Water Ice Steel,
Bug,Grass Psychic Dark,Fire Fighting Poison Flying Ghost Steel Fairy,
Ghost,Psychic Ghost,Dark,Normal
Steel,Ice Rock Fairy,Fire Water Electric Steel,
Dragon,Dragon,Steel,Fairy
Dark,Psychic Ghost,Fighting Dark Fairy,
Fairy,Fighting Dragon Dark,Fire Poison Steel,
